,201601월,,,,201602월,,,,201603월,,,,201604월,,,,201701월,,,,201702월,,,,201703월,,,,201704월,,,,201801월,,,,201802월,,,,201803월,,,,201804월,,,,201901월,,,,신규구인_201902,,,,201903월,,,,201904월,,,,202001월,,,,202002월,,,,202003월,,,,202004월,,,
직업분류,신규구인_201601,신규구직건수,취업건수,취업률_201601,신규구인_201602,신규구직건수,취업건수,취업률_201602,신규구인_201603,신규구직건수_201603,취업건수,취업률_201603,신규구인_201604,신규구직건수_201604,취업건수,취업률_201604,신규구인_201701,신규구직건수,취업건수,취업률_201701,신규구인_201702,신규구직건수,취업건수,취업률,신규구인_201703,신규구직건수_201703,취업건수,취업률_201703,신규구인_201704,신규구직건수_201704,취업건수,취업률_201704,신규구인_201801,신규구직건수,취업건수,취업률_201801,신규구인_201802,신규구직건수,취업건수,취업률,신규구인2018_03,신규구직건수_201803,취업건수,취업률_201803,신규구인_201804,신규구직건수_201804,취업건수,취업률_201804,신규구인_201901,신규구직건수,취업건수,취업률_201901,신규구인인원,신규구직건수,취업건수,취업률,신규구인_201903,신규구직건수_201903,취업건수,취업률_201903,신규구인_201904,신규구직건수_201904,취업건수,취업률_201904,신규구인_202001,신규구직건수_202001,취업건수,취업률_202001,신규구인_202002,신규구직건수_202002,취업건수,취업률_202002,신규구인_202003,신규구직건수_202003,취업건수,취업률_202003,신규구인_202004,신규구직건수_202004,취업건수,취업률_202004
운전및운송,5379,12196,3478,28.5,6147,8747,3328,38,8491,10758,4692,43.6,7077,10139,4148,40.9,6684,9757,3110,31.9,8237,8192,3228,39.4,9292,9120,4109,45.1,7591,8972,3641,40.6,8560,9881,2911,29.5,6397,7416,2430,32.8,10068,9447,3396,35.9,8031,9441,3333,35.3,6354,11693,2981,25.5,6176,8444,2458,29.1,6903,9984,3607,36.1,6945,10397,3452,33.2,5780,12445,2821,22.7,5563,10277,3292,32,4543,12476,3256,26.1,3993,11997,2982,24.9
영업원및판매,6170,11338,2526,22.3,6045,8948,2210,24.7,8197,10976,2903,26.4,6852,9821,2732,27.8,5425,8933,2384,26.7,6720,7806,2229,28.6,7393,9049,2708,29.9,6553,8600,2367,27.5,6269,10249,2103,20.5,5125,8678,1931,22.3,6413,10400,2489,23.9,5934,10060,2442,24.3,4832,12436,2256,18.1,4520,9124,1738,19,4961,10685,2234,20.9,5312,11248,2286,20.3,3963,12766,1934,15.1,3766,11356,1981,17.4,3307,13883,1978,14.2,3264,13807,1942,14.1
경비및청소,4430,24511,5177,21.1,4555,12511,4098,32.8,5423,15190,6512,42.9,4619,14176,4932,34.8,4829,19218,4649,24.2,5261,10863,4322,39.8,6129,12495,5538,44.3,5021,12509,4556,36.4,5047,19622,4833,24.6,4337,9074,3195,35.2,5073,10737,4811,44.8,4648,10896,4180,38.4,4129,19575,4968,25.4,3720,8993,2977,33.1,4287,10744,4387,40.8,3906,11554,3832,33.2,3947,21921,4872,22.2,3704,11041,3422,31,3096,13070,3480,26.6,2559,13464,2840,21.1
미용숙박오락,1082,8180,1316,16.1,1050,6850,1150,16.8,1271,8204,1832,22.3,1063,6346,1391,21.9,836,6377,1265,19.8,1097,5728,1061,18.5,1095,6527,1658,25.4,984,5805,1092,18.8,860,7672,1309,17.1,684,5453,922,16.9,921,6812,1530,22.5,1110,5716,1064,18.6,679,7589,1505,19.8,778,5115,823,16.1,773,5979,1345,22.5,1030,5562,1043,18.8,641,7024,1499,21.3,596,6298,1033,16.4,399,7468,1039,13.9,324,7150,908,12.7
음식서비스,3857,16398,2470,15.1,4548,12495,2293,18.4,5897,16360,4158,25.4,5067,12738,3158,24.8,3803,12589,2109,16.8,5494,10655,2374,22.3,6260,12586,3641,28.9,6501,10557,2650,25.1,4291,13201,2105,15.9,3970,9532,1676,17.6,4751,12446,2929,23.5,4564,10306,2456,23.8,3936,14672,1897,12.9,3815,9726,1744,17.9,4466,11996,3043,25.4,4847,10806,2524,23.4,4132,14701,1972,13.4,4008,12626,2107,16.7,2657,17850,2374,13.3,2597,16230,1985,12.2
건설관련직,10264,21636,3419,15.8,9528,13506,4008,29.7,13633,13893,6451,46.4,10999,11278,5202,46.1,9150,14727,2459,16.7,9807,10600,3534,33.3,13765,10140,4822,47.6,10052,9524,3913,41.1,10132,17723,2906,16.4,7862,10657,2675,25.1,11180,11256,4950,44,9510,10110,4200,41.5,8916,19373,3011,15.5,7167,11041,2803,25.4,10103,11259,4716,41.9,8988,11031,4089,37.1,7190,18092,2531,14,8781,12861,3615,28.1,7919,13596,4374,32.2,7089,12722,4048,31.8
기계관리직,13652,14111,4479,31.7,13082,11237,3968,35.3,17628,13318,5264,39.5,13639,11642,4779,41,14020,11870,3855,32.5,17616,10716,4080,38.1,19519,11057,4591,41.5,16286,10801,4212,39,15485,13224,3821,28.9,12726,10217,3131,30.6,17494,12634,3949,31.3,14959,11939,3952,33.1,11583,14158,3832,27.1,10269,10400,2776,26.7,12028,11582,3841,33.2,11684,11924,3887,32.6,9994,13420,3182,23.7,10520,11731,3626,30.9,10558,12037,3538,29.4,7563,12055,3402,28.2
재료관련직,9682,5534,1458,26.3,9150,4078,1442,35.4,13002,5027,1921,38.2,8975,4232,1727,40.8,9024,4026,1211,30.1,9963,3769,1344,35.7,12950,3868,1593,41.2,8912,3717,1356,36.5,9577,4510,1295,28.7,7490,3554,1050,29.5,11354,4322,1512,35,8422,3948,1419,35.9,8091,4401,1212,27.5,6692,3380,1014,30,9539,3867,1313,34,7917,3710,1363,36.7,6479,4394,938,21.3,7998,4050,1184,29.2,6586,4158,1343,32.3,4861,4014,1240,30.9
화학관련직,5111,1988,695,35,4723,1559,559,35.9,7768,2001,789,39.4,5043,1691,791,46.8,5454,1632,587,36,5903,1550,619,39.9,7958,1852,781,42.2,5366,1757,669,38.1,6020,2238,737,32.9,3918,1760,598,34,6164,2226,759,34.1,4674,2137,777,36.4,3933,2375,680,28.6,3246,1752,517,29.5,4185,2138,713,33.3,3798,2189,743,33.9,3379,2379,618,26,3699,2097,680,32.4,3551,2157,684,31.7,2459,2351,666,28.3
섬유및의복,1522,2161,359,16.6,1630,1755,366,20.9,3064,1942,468,24.1,1649,1598,449,28.1,1660,1263,239,18.9,1717,1133,266,23.5,3337,1318,337,25.6,1431,1257,308,24.5,1758,1277,251,19.7,937,972,199,20.5,2157,1228,287,23.4,1324,1152,273,23.7,989,1261,222,17.6,790,965,144,14.9,1446,1097,228,20.8,981,1033,204,19.7,735,1234,176,14.3,1045,1072,191,17.8,836,1243,204,16.4,418,1584,176,11.1
전기전자,7780,14558,4398,30.2,7885,11410,3909,34.3,9774,13381,5031,37.6,7809,12356,4542,36.8,7707,12183,3694,30.3,9873,10567,3970,37.6,11191,11453,4727,41.3,9061,11040,4072,36.9,8633,13942,3939,28.3,6251,11008,3268,29.7,8873,14211,3957,27.8,7275,13163,4146,31.5,6145,16602,4458,26.9,5825,11774,3232,27.5,6416,13716,4422,32.2,6437,14154,4263,30.1,5322,15532,3581,23.1,5243,12995,4017,30.9,5229,13959,3622,25.9,4441,14208,3563,25.1
정보통신,1484,7789,2001,25.7,1457,6136,1708,27.8,1734,6992,2240,32,1547,5999,2134,35.6,1393,6140,1574,25.6,1863,5600,1686,30.1,1724,6184,1924,31.1,1537,5598,1747,31.2,1647,7345,1635,22.3,1110,5333,1386,26,1584,6654,1515,22.8,1375,6015,1548,25.7,1553,7339,1536,20.9,1243,4780,1167,24.4,1534,5535,1516,27.4,1544,5450,1564,28.7,1406,6240,1194,19.1,1243,5471,1273,23.3,1111,5422,1314,24.2,1009,5429,1382,25.5
식품가공,2708,3246,604,18.6,2810,2444,639,26.1,4093,3043,825,27.1,3035,2382,744,31.2,3078,2587,576,22.3,3510,2398,644,26.9,4284,2691,876,32.6,3310,2310,754,32.6,3809,3390,735,21.7,2346,2261,588,26,3599,2777,792,28.5,2743,2461,747,30.4,1975,3436,590,17.2,1836,2465,469,19,2463,2779,744,26.8,2078,2630,718,27.3,1754,3246,557,17.2,2070,2899,589,20.3,1634,2806,617,22,1509,2929,594,20.3
생산단순직,17424,15348,3432,22.4,15785,10699,3144,29.4,28353,13256,4559,34.4,17308,11334,3969,35,20131,11991,2860,23.9,21463,9424,3386,35.9,32160,10341,4114,39.8,20001,10000,3570,35.7,24062,11782,3064,26,15417,8412,2479,29.5,27458,11045,3597,32.6,18815,10483,3637,34.7,16321,14375,3386,23.6,14177,10203,2803,27.5,20741,11867,4080,34.4,16678,12446,3951,31.7,14839,15478,3230,20.9,17469,12063,3715,30.8,15368,13267,3580,27,11124,13641,3535,25.9
농림어업,5407,4037,562,13.9,3183,1160,1513,130.4,10683,1197,2105,175.9,4187,875,821,93.8,6317,3141,343,10.9,3459,913,1347,147.5,12458,855,1763,206.2,4496,776,674,86.9,7053,3112,338,10.9,2457,880,1050,119.3,6281,930,1445,155.4,3872,802,771,96.1,4658,3295,447,13.6,2776,967,1116,115.4,5119,857,1489,173.7,4446,823,656,79.7,4927,3806,286,7.5,4097,1188,1378,116,4501,1155,1353,117.1,2199,1079,774,71.7
군인,100,28,8,28.6,0,36,6,16.7,0,56,10,17.9,2,42,9,21.4,0,39,6,15.4,2,28,4,14.3,1,27,6,22.2,0,39,5,12.8,4,51,5,9.8,1,37,5,13.5,0,51,5,9.8,1,49,9,18.4,1,54,8,14.8,2,35,3,8.6,1,69,8,11.6,1,42,4,9.5,0,72,6,8.3,0,76,10,13.2,2,76,8,10.5,2,66,7,10.6
