,구인,구직,구인배수,취업자수,취업률
201204월,"150,327","212,236",0.71,"65,454",30.8
201205월,"162,145","208,007",0.78,"62,719",30.2
201206월,"147,424","200,864",0.73,"59,898",29.8
201207월,"143,874","205,117",0.7,"63,462",30.9
201208월,"152,785","196,239",0.78,"59,921",30.5
201209월,"135,059","193,947",0.7,"62,024",32
201210월,"167,811","211,607",0.79,"61,602",29.1
201211월,"151,054","201,451",0.75,"69,883",34.7
201212월,"117,819","200,379",0.59,"49,055",24.5
201301월,"162,117","296,229",0.55,"61,087",20.6
201302월,"132,412","208,092",0.64,"62,189",29.9
201303월,"170,643","262,641",0.65,"90,131",34.3
201304월,"152,811","248,947",0.61,"84,003",33.7
201305월,"151,908","225,803",0.67,"73,950",32.7
201306월,"148,405","215,926",0.69,"65,045",30.1
201307월,"138,815","266,551",0.52,"76,164",28.6
201308월,"146,911","224,526",0.65,"67,208",29.9
201309월,"140,100","220,526",0.64,"65,996",29.9
201310월,"150,502","252,886",0.6,"73,348",29
201311월,"134,893","208,348",0.65,"71,589",34.4
201312월,"133,342","250,188",0.53,"62,652",25
201401월,"136,730","299,955",0.46,"61,877",20.6
201402월,"145,527","239,384",0.61,"69,886",29.2
201403월,"150,454","266,707",0.56,"98,826",37.1
201404월,"170,488","248,717",0.69,"85,685",34.5
201405월,"130,924","225,168",0.58,"72,371",32.1
201406월,"132,254","234,648",0.56,"69,784",29.7
201407월,"137,852","272,245",0.51,"77,872",28.6
201408월,"137,517","217,152",0.63,"66,276",30.5
201409월,"137,728","225,426",0.61,"66,737",29.6
201410월,"141,581","245,293",0.58,"75,556",30.8
201411월,"126,783","224,073",0.57,"63,943",28.5
201412월,"147,873","235,098",0.63,"61,100",26
201501월,"137,464","323,548",0.42,"76,535",23.7
201502월,"108,653","219,592",0.49,"63,735",29
201503월,"183,479","284,766",0.64,"99,716",35
201504월,"138,335","260,023",0.53,"88,414",34
201505월,"122,386","219,804",0.56,"70,033",31.9
201506월,"150,426","245,213",0.61,"77,943",31.8
201507월,"127,293","283,965",0.45,"76,997",27.1
201508월,"134,096","217,781",0.62,"66,270",30.4
201509월,"135,974","227,142",0.6,"71,466",31.5
201510월,"147,264","250,155",0.59,"71,964",28.8
201511월,"132,268","218,446",0.61,"71,039",32.5
201512월,"152,070","246,086",0.62,"63,112",25.6
201601월,"131,893","309,475",0.43,"68,507",22.1
201602월,"127,317","225,314",0.57,"64,521",28.6
201603월,"180,460","292,730",0.62,"95,636",32.7
201604월,"134,727","233,340",0.58,"78,295",33.6
201605월,"133,845","213,774",0.63,"69,665",32.6
201606월,"151,907","231,129",0.66,"68,926",29.8
201607월,"129,203","239,837",0.54,"69,235",28.9
201608월,"148,535","212,162",0.7,"61,856",29.2
201609월,"147,425","202,963",0.73,"61,739",30.4
201610월,"146,518","207,056",0.71,"65,313",31.5
201611월,"140,573","204,662",0.69,"65,896",32.2
201612월,"164,990","206,901",0.8,"58,909",28.5
201701월,"135,596","254,381",0.53,"58,156",22.9
201702월,"154,097","209,136",0.74,"64,563",30.9
201703월,"190,803","251,660",0.76,"85,585",34
201704월,"143,058","220,370",0.65,"68,357",31
201705월,"146,198","219,211",0.67,"57,233",26.1
201706월,"167,787","231,035",0.73,"61,025",26.4
201707월,"136,595","229,101",0.6,"59,604",26
201708월,"145,625","215,181",0.68,"54,438",25.3
201709월,"140,862","213,663",0.66,"61,918",29
201710월,"123,499","191,269",0.65,"43,716",22.9
201711월,"133,954","221,656",0.6,"59,057",26.6
201712월,"129,394","213,616",0.61,"50,705",23.7
201801월,"152,123","280,686",0.54,"60,377",21.5
201802월,"111,514","201,970",0.55,"51,090",25.3
