,"2013
07월",,,,"2013
08월",,,,"2013
09월",,,,"2013
10월",,,,"2013
11월",,,,"2013
12월",,,,"2014
01월",,,,"2014
02월",,,,"2014
03월",,,,"2014
04월",,,,"2014
05월",,,,"2014
06월",,,,"2014
07월",,,,"2014
08월",,,,"2014
09월",,,,"2014
10월",,,,"2014
11월",,,,"2014
12월",,,,"2015
01월",,,,"2015
02월",,,,"2015
03월",,,,"2015
04월",,,,"2015
05월",,,,"2015
06월",,,,"2015
07월",,,,"2015
08월",,,,"2015
09월",,,,"2015
10월",,,,"2015
11월",,,,"2015
12월",,,,"2016
01월",,,,"2016
02월",,,,"2016
03월",,,,"2016
04월",,,,"2016
05월",,,,"2016
06월",,,,"2016
07월",,,,"2016
08월",,,,"2016
09월",,,,"2016
10월",,,,"2016
11월",,,,"2016
12월",,,,"2017
01월",,,,"2017
02월",,,,"2017
03월",,,,"2017
04월",,,,"2017
05월",,,,"2017
06월",,,,"2017
07월",,,
,신규구인인원,신규구직건수,취업건수,취업률_201307,신규구인인원,신규구직건수,취업건수,취업률,신규구인인원,신규구직건수,취업건수,취업률,신규구인인원,신규구직건수,취업건수,취업률,신규구인인원,신규구직건수,취업건수,취업률,신규구인인원,신규구직건수,취업건수,취업률,신규구인인원,신규구직건수,취업건수,취업률,신규구인인원,신규구직건수,취업건수,취업률,신규구인인원,신규구직건수,취업건수,취업률,신규구인인원,신규구직건수,취업건수,취업률,신규구인인원,신규구직건수,취업건수,취업률,신규구인인원,신규구직건수,취업건수,취업률,신규구인인원,신규구직건수,취업건수,취업률_201407,신규구인인원,신규구직건수,취업건수,취업률,신규구인인원,신규구직건수,취업건수,취업률,신규구인인원,신규구직건수,취업건수,취업률,신규구인인원,신규구직건수,취업건수,취업률,신규구인인원,신규구직건수,취업건수,취업률,신규구인인원,신규구직건수,취업건수,취업률,신규구인인원,신규구직건수,취업건수,취업률,신규구인인원,신규구직건수,취업건수,취업률,신규구인인원,신규구직건수,취업건수,취업률,신규구인인원,신규구직건수,취업건수,취업률,신규구인인원,신규구직건수,취업건수,취업률,신규구인인원,신규구직건수,취업건수,취업률_201507,신규구인인원,신규구직건수,취업건수,취업률,신규구인인원,신규구직건수,취업건수,취업률,신규구인인원,신규구직건수,취업건수,취업률,신규구인인원,신규구직건수,취업건수,취업률,신규구인인원,신규구직건수,취업건수,취업률,신규구인인원,신규구직건수,취업건수,취업률,신규구인인원,신규구직건수,취업건수,취업률,신규구인인원,신규구직건수,취업건수,취업률,신규구인인원,신규구직건수,취업건수,취업률,신규구인인원,신규구직건수,취업건수,취업률,신규구인인원,신규구직건수,취업건수,취업률,신규구인인원,신규구직건수,취업건수,취업률_201607,신규구인인원,신규구직건수,취업건수,취업률,신규구인인원,신규구직건수,취업건수,취업률,신규구인인원,신규구직건수,취업건수,취업률,신규구인인원,신규구직건수,취업건수,취업률,신규구인인원,신규구직건수,취업건수,취업률,신규구인인원,신규구직건수,취업건수,취업률,신규구인인원,신규구직건수,취업건수,취업률,신규구인인원,신규구직건수,취업건수,취업률,신규구인인원,신규구직건수,취업건수,취업률,신규구인인원,신규구직건수,취업건수,취업률,신규구인인원,신규구직건수,취업건수,취업률,신규구인인원,신규구직건수,취업건수,취업률_201707
계,138815,266551,76164,28.6,146911,224526,67208,29.9,140100,220526,65996,29.9,150502,252886,73348,29.0,134893,208348,71589,34.4,133342,250188,62652,25.0,136730,299955,61877,20.6,145527,239384,69886,29.2,150454,266707,98826,37.1,170488,248717,85685,34.5,130924,225168,72371,32.1,132254,234648,69784,29.7,137852,272245,77872,28.6,137517,217152,66276,30.5,137728,225426,66737,29.6,141581,245293,75556,30.8,126783,224073,63943,28.5,147873,235098,61100,26.0,137464,323548,76535,23.7,108653,219592,63735,29.0,183479,284766,99716,35.0,138335,260023,88414,34.0,122386,219804,70033,31.9,150426,245213,77943,31.8,127293,283965,76997,27.1,134096,217781,66270,30.4,135974,227142,71466,31.5,147264,250155,71964,28.8,132268,218446,71039,32.5,152070,246086,63112,25.6,131893,309475,68507,22.1,127317,225314,64521,28.6,180460,292730,95636,32.7,134727,233340,78295,33.6,133845,213774,69665,32.6,151907,231129,68926,29.8,129203,239837,69235,28.9,148535,212162,61856,29.2,147425,202963,61739,30.4,146518,207056,65313,31.5,140573,204662,65896,32.2,164990,206901,58909,28.5,135596,254381,58156,22.9,154097,209136,64563,30.9,190803,251660,85585,34.0,143058,220370,68357,31.0,146198,219211,57233,26.1,167787,231035,61025,26.4,136595,229101,59604,26.0
관리직,4207,19342,5381,27.8,2469,16160,4824,29.9,1861,15233,4643,30.5,1866,18255,4863,26.6,1535,14713,4856,33.0,1271,16144,4432,27.5,1379,19869,4270,21.5,1877,16117,4819,29.9,1772,17796,6044,34.0,1644,17958,5824,32.4,1638,16031,5010,31.3,1433,16081,5022,31.2,1748,18921,5416,28.6,1369,15847,4698,29.6,1473,15793,4675,29.6,1562,17884,5131,28.7,1351,15762,4227,26.8,1572,15825,4286,27.1,1750,22197,5445,24.5,1390,15897,4498,28.3,1859,18727,6507,34.7,1962,18018,6136,34.1,1435,14526,4935,34.0,824,13753,5299,38.5,720,16455,4666,28.4,948,12403,4031,32.5,930,12993,4081,31.4,1249,14993,4045,27.0,1162,11818,3759,31.8,1294,13861,3583,25.8,1286,18473,3852,20.9,1375,13533,3703,27.4,1830,16373,5021,30.7,1760,13201,4291,32.5,1681,11076,3929,35.5,2011,12626,3711,29.4,2522,13806,3642,26.4,2469,11692,3215,27.5,2252,10492,3118,29.7,2417,10792,3259,30.2,2627,10397,3276,31.5,2660,10242,2934,28.6,2361,15690,2950,18.8,3209,12957,3415,26.4,3228,14251,4390,30.8,2925,14429,3848,26.7,3085,13409,3249,24.2,3121,13312,3464,26.0,2675,14106,3296,23.4
경영회계사무,23734,64957,19056,29.3,24398,56123,16183,28.8,20918,55990,15924,28.4,26637,65268,18301,28.0,23170,53410,17801,33.3,20461,60986,15896,26.1,20188,68789,15664,22.8,25104,58294,16958,29.1,25218,64943,21550,33.2,25838,63567,20671,32.5,22917,57434,17681,30.8,24459,59729,17654,29.6,23730,66759,19799,29.7,20883,53995,16522,30.6,22841,57225,16102,28.1,24611,62964,18594,29.5,21140,57077,15772,27.6,21699,57101,15675,27.5,20268,72939,19080,26.2,16469,52162,15392,29.5,25054,67800,21119,31.1,22672,64254,20566,32.0,19044,55080,16807,30.5,24261,61693,19342,31.4,21127,69878,18737,26.8,20861,54138,16018,29.6,19759,57544,17113,29.7,23822,64148,17640,27.5,20922,55773,17327,31.1,19709,61074,16135,26.4,19607,71057,17109,24.1,19576,55231,15550,28.2,24487,72062,20895,29.0,21004,60642,18635,30.7,21323,55732,16949,30.4,22350,61720,17294,28.0,19601,60665,17006,28.0,22149,56185,14887,26.5,20709,54761,15132,27.6,23039,55828,16531,29.6,21617,54683,16731,30.6,19957,53928,15445,28.6,18709,61757,14570,23.6,22495,54389,16126,29.6,22945,65505,19272,29.4,19641,59178,16386,27.7,20397,59481,13705,23.0,21915,62941,15171,24.1,19324,60397,14714,24.4
금융보험,1309,2588,613,23.7,1020,1853,499,26.9,949,1941,512,26.4,1116,2462,478,19.4,1323,1865,511,27.4,847,2100,546,26.0,907,2623,529,20.2,941,2342,561,24.0,854,2231,686,30.7,990,2542,626,24.6,589,2308,563,24.4,476,2175,583,26.8,859,2685,656,24.4,446,2020,566,28.0,601,1928,503,26.1,545,2427,524,21.6,554,2051,464,22.6,526,1916,427,22.3,414,2866,589,20.6,346,1958,496,25.3,553,2273,684,30.1,465,2453,686,28.0,358,1959,493,25.2,356,2047,624,30.5,420,2622,585,22.3,280,1959,457,23.3,374,1850,479,25.9,345,2211,491,22.2,426,1787,415,23.2,228,1923,460,23.9,343,2784,466,16.7,356,1922,473,24.6,435,2469,597,24.2,393,2013,505,25.1,364,1758,475,27.0,401,1934,472,24.4,343,2088,510,24.4,369,1864,442,23.7,387,1633,373,22.8,319,1717,435,25.3,246,1640,447,27.3,284,1604,388,24.2,312,2423,417,17.2,517,2359,490,20.8,433,2033,514,25.3,255,2014,467,23.2,244,2212,377,17.0,357,1997,387,19.4,289,2144,390,18.2
교육과학연구,1017,6827,1334,19.5,1174,5138,1709,33.3,910,7910,2085,26.4,1088,5938,1469,24.7,1120,4550,1083,23.8,1390,7817,902,11.5,1549,12224,860,7.0,1760,6345,1691,26.7,1171,15260,7283,47.7,951,7318,2275,31.1,838,5246,1640,31.3,1171,7039,1525,21.7,1118,6815,1462,21.5,965,5141,1692,32.9,972,8290,2316,27.9,1213,5723,1497,26.2,1342,4913,996,20.3,1544,6643,882,13.3,1643,10898,1038,9.5,1914,6268,1304,20.8,1249,16204,6193,38.2,1121,7166,2394,33.4,881,4866,1582,32.5,1013,6944,1616,23.3,1042,6983,1457,20.9,1068,5074,1785,35.2,970,8620,2303,26.7,1215,5971,1524,25.5,1228,4630,1037,22.4,1452,7329,876,12.0,1591,9466,1058,11.2,1970,5801,1361,23.5,1272,16019,5401,33.7,980,6237,1874,30.0,927,4728,1454,30.8,1065,7344,1425,19.4,1180,5431,1170,21.5,1328,4740,1578,33.3,1018,6932,1747,25.2,1049,4495,1123,25.0,1318,4327,935,21.6,1505,6004,719,12.0,1482,8398,836,10.0,1390,5416,1168,21.6,1279,13777,4917,35.7,888,6191,1604,25.9,963,4887,1417,29.0,963,8182,1147,14.0,965,5615,1006,17.9
법률소방교도,257,1211,309,25.5,156,986,244,24.7,148,930,294,31.6,335,1142,294,25.7,156,919,289,31.4,137,951,277,29.1,179,1169,272,23.3,165,972,302,31.1,218,1064,344,32.3,156,1102,344,31.2,164,954,310,32.5,192,985,299,30.4,169,1086,324,29.8,176,897,273,30.4,159,924,307,33.2,210,1083,324,29.9,178,966,286,29.6,186,905,273,30.2,152,1187,311,26.2,142,866,248,28.6,222,1148,354,30.8,244,1001,321,32.1,220,919,264,28.7,217,939,331,35.3,228,1102,292,26.5,177,840,283,33.7,163,922,244,26.5,181,994,267,26.9,163,951,242,25.4,174,962,234,24.3,199,1175,276,23.5,160,950,244,25.7,210,1165,338,29.0,198,994,270,27.2,176,915,259,28.3,167,996,271,27.2,135,939,266,28.3,176,881,247,28.0,155,844,249,29.5,174,868,264,30.4,138,874,244,27.9,132,805,244,30.3,151,993,203,20.4,174,864,239,27.7,187,1039,290,27.9,164,1015,266,26.2,162,980,226,23.1,144,962,287,29.8,127,1077,254,23.6
보건의료,4100,13885,3669,26.4,4573,13612,3216,23.6,4349,12326,3402,27.6,4775,13209,3940,29.8,4856,10462,3703,35.4,3830,12706,3195,25.1,3518,16652,3250,19.5,4187,14728,3629,24.6,4115,15061,4949,32.9,4202,12676,4665,36.8,3874,11229,4243,37.8,3819,11633,3904,33.6,4690,15410,3951,25.6,4587,13661,3226,23.6,4526,12362,3493,28.3,5580,12034,4137,34.4,4836,11280,3447,30.6,5269,11823,3311,28.0,4641,18554,4146,22.3,4137,14884,3518,23.6,5853,16378,5310,32.4,4846,14364,5061,35.2,4391,11630,4249,36.5,4870,12727,4469,35.1,5268,16041,3969,24.7,5416,14741,3609,24.5,5306,13785,3965,28.8,6766,14065,4113,29.2,5811,12751,4341,34.0,5758,13790,3791,27.5,4948,18283,4016,22.0,5516,15270,3882,25.4,6313,17965,5531,30.8,5436,13947,4894,35.1,5996,12502,4500,36.0,5757,13472,4421,32.8,5839,14299,4121,28.8,6487,14142,3671,26.0,5955,12902,3729,28.9,5777,12493,4097,32.8,5780,12480,3998,32.0,6391,12620,3618,28.7,5536,16494,3637,22.1,6342,15099,3965,26.3,6196,17307,5519,31.9,5982,14493,4631,32.0,6233,13755,4105,29.8,6962,14371,4561,31.7,6602,14910,3750,25.2
사회복지및종교,1610,7327,2421,33.0,1658,5853,2164,37.0,1476,7264,2302,31.7,1630,6966,1954,28.1,1875,5383,1670,31.0,2318,7559,1343,17.8,2741,9770,1694,17.3,2404,6671,2018,30.3,1659,14436,3945,27.3,1408,8304,2623,31.6,1299,6347,2220,35.0,1357,7888,2071,26.3,1651,7855,2370,30.2,1463,5845,2413,41.3,1560,7702,2425,31.5,1757,6945,2175,31.3,1846,6136,1601,26.1,2584,7187,1413,19.7,3047,10597,2147,20.3,2083,6578,1964,29.9,1997,16027,3982,24.8,1810,8648,2711,31.3,1511,6281,2306,36.7,2077,8259,2520,30.5,2050,8452,2608,30.9,2401,6573,2629,40.0,2258,8434,3177,37.7,2370,7452,2518,33.8,2267,6226,2011,32.3,3377,7850,1623,20.7,3801,10557,2216,21.0,2988,7077,2044,28.9,2388,16298,4161,25.5,1997,7918,2676,33.8,2191,6589,2384,36.2,2339,8492,2402,28.3,2317,7325,2467,33.7,2483,6571,2514,38.3,2276,7664,2325,30.3,2305,6426,2118,33.0,2545,6389,1821,28.5,4469,7487,1597,21.3,4086,10112,2142,21.2,3427,7512,2332,31.0,2522,15755,4211,26.7,2076,8513,2524,29.6,2150,7626,2163,28.4,2540,10475,2335,22.3,2674,8014,2342,29.2
문화방송예술,3817,13418,3025,22.5,3606,12032,2897,24.1,3260,11182,2748,24.6,3899,12639,3087,24.4,3430,10579,3108,29.4,3250,11917,2975,25.0,3493,14313,2771,19.4,4205,13157,3017,22.9,4720,13650,4120,30.2,4471,12553,3794,30.2,3743,11203,3251,29.0,3900,11748,3188,27.1,3824,13117,3604,27.5,3575,11553,2917,25.2,3728,11445,2967,25.9,4123,12254,3333,27.2,3962,11238,2786,24.8,3803,11423,2892,25.3,4224,15600,3511,22.5,3273,12041,2953,24.5,4960,14645,4067,27.8,4254,13152,4038,30.7,3853,11270,3073,27.3,4301,12645,3658,28.9,4029,14352,3347,23.3,4006,11414,3021,26.5,3785,11758,3275,27.9,4481,12362,3193,25.8,4087,10888,3208,29.5,3937,12092,2985,24.7,4066,14621,3132,21.4,3798,11959,2923,24.4,4514,14785,3932,26.6,4088,11739,3622,30.9,3922,10411,3085,29.6,4103,11171,3133,28.0,3624,11355,2910,25.6,3997,10600,2638,24.9,3683,9901,2630,26.6,3850,10153,2664,26.2,3713,9716,2963,30.5,3485,9698,2760,28.5,3448,12041,2480,20.6,4558,10598,2734,25.8,4497,12430,3284,26.4,4025,11275,3045,27.0,4106,11133,2411,21.7,3970,11414,2572,22.5,3686,11153,2441,21.9
